mes_ano,Soma de price
2016-09,"R$ 194,47"
2016-10,"R$ 49580,55"
2016-12,"R$ 10,9"
2017-01,"R$ 80124,74"
2017-02,"R$ 245982,01"
2017-03,"R$ 343242,6"
2017-04,"R$ 308148,32"
2017-05,"R$ 505655,46"
2017-06,"R$ 469001,05"
2017-07,"R$ 465282,1"
2017-08,"R$ 560093,34"
2017-09,"R$ 617046,12"
2017-10,"R$ 658020,23"
2017-11,"R$ 883351,63"
2017-12,"R$ 898920,98"
2018-01,"R$ 845279,18"
2018-02,"R$ 819228,85"
2018-03,"R$ 1030527,84"
2018-04,"R$ 958729,7"
2018-05,"R$ 1084358,55"
2018-06,"R$ 870736,84"
2018-07,"R$ 811132,08"
2018-08,"R$ 1072147,7"
2018-09,"R$ 14502,5"
2020-02,"R$ 145,98"
2020-04,"R$ 199,98"
