,mes_ano,indice,vendas_reais,previsao
0,2017-01-01,0,80124.74,
1,2017-02-01,1,245982.01,
2,2017-03-01,2,343242.6,
3,2017-04-01,3,308148.32,
4,2017-05-01,4,505655.46,
5,2017-06-01,5,469001.05,
6,2017-07-01,6,465282.1,
7,2017-08-01,7,560093.34,
8,2017-09-01,8,617046.12,
9,2017-10-01,9,658020.23,
10,2017-11-01,10,883351.63,
11,2017-12-01,11,898920.98,
12,2018-01-01,12,845279.18,
13,2018-02-01,13,819228.85,
14,2018-03-01,14,1030527.84,
15,2018-04-01,15,958729.7,
16,2018-05-01,16,1084358.55,
17,2018-06-01,17,870736.84,
18,2018-07-01,18,811132.08,
19,2018-08-01,19,1072147.7,
0,2018-09-30,20,,1161649.45
1,2018-10-31,21,,1207868.4
2,2018-11-30,22,,1254087.35
3,2018-12-31,23,,1300306.3
4,2019-01-31,24,,1346525.25
5,2019-02-28,25,,1392744.2
6,2019-03-31,26,,1438963.15
